priority,topicId,id,title,reason,source,url,sourceUrl,stage,type,isDatePlaceholder,nextAction
P1,agent-ddl,agent-ddl-ai-olympics-realaigym-stage1-2026-06-15,AI Olympics with RealAIGym - Stage 1,root-like URL without source-board wording,IJCAI AI Olympics with RealAIGym,https://ai-olympics.dfki-bremen.de/,https://ai-olympics.dfki-bremen.de/,Stage 1 report,challenge,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,concert-ddl,concert-ddl-wynonna-nashville-2026-06-06,Wynonna Nashville 2026,root-like URL without source-board wording,Wynonna official tour,https://www.wynonna.com/,https://www.wynonna.com/,Concert date,concert,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,concert-ddl,concert-ddl-wynonna-red-butte-2026-07-30,Wynonna Red Butte Garden 2026,root-like URL without source-board wording,Wynonna official tour,https://www.wynonna.com/,https://www.wynonna.com/,Concert date,concert,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,cv-ddl,cvpr2026-cvpr-2026-6th-workshop-on-cv4animals-computer-vision-for-animal-behavior-tracking-and-mode,CVPR 2026 - 6th Workshop on CV4Animals: Computer Vision for Animal Behavior Tracking and Modeling,root-like URL without source-board wording,CVPR 2026 Workshops,https://www.cv4animals.com/,https://www.cv4animals.com/,Workshop / challenge session,challenge,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,cv-ddl,cvpr2026-cvpr-2026-the-7th-international-workshop-and-cvml-challenge-on-agriculture-vision-challeng,CVPR 2026 - The 7th International Workshop and CVML Challenge on Agriculture-Vision: Challenges & Opportunities for Computer Vision in Agriculture,root-like URL without source-board wording,CVPR 2026 Workshops,https://www.agriculture-vision.com/,https://www.agriculture-vision.com/,Workshop / challenge session,challenge,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,hackathon-ddl,hackathon-ddl-hack-the-north-2026-2026-09-01,Hack the North 2026,root-like URL without source-board wording,Official site,https://hackthenorth.com,https://hackthenorth.com,Registration,hackathon,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,hackathon-ddl,hackathon-ddl-nasa-space-apps-challenge-2026-2026-10-01,NASA Space Apps Challenge 2026,root-like URL without source-board wording,Official site,https://www.spaceappschallenge.org/,https://www.spaceappschallenge.org/,Local event,hackathon,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,multimodal-ddl,multimodal-ddl-multimodal-safety-red-team-2026-12-20,Multimodal Safety Red Team,aggregator or review-platform source,人工整理的官方来源入口,https://openreview.net/,https://openreview.net/,Report,challenge,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,multimodal-ddl,multimodal-ddl-robotics-vla-benchmark-2027-03-10,Robotics VLA Benchmark,aggregator or review-platform source,人工整理的官方来源入口,https://openreview.net/,https://openreview.net/,Leaderboard,challenge,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,multimodal-ddl,multimodal-ddl-textvqa-refresh-2026-08-01,TextVQA Refresh,root-like URL without source-board wording,官方评测入口,https://textvqa.org,https://textvqa.org,Result upload,challenge,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,multimodal-ddl,multimodal-ddl-vqa-challenge-2026-2026-07-01,VQA Challenge 2026,root-like URL without source-board wording,官方评测入口,https://visualqa.org,https://visualqa.org,Submission,challenge,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,nlp-ddl,nlp-ddl-conll-shared-task-2027-2027-01-20,CoNLL Shared Task 2027,root-like URL without source-board wording,官方评测入口,https://www.conll.org,https://www.conll.org,System submit,conference,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,nlp-ddl,nlp-ddl-rag-evaluation-shared-task-2026-11-28,RAG Evaluation Shared Task,aggregator or review-platform source,人工整理的官方来源入口,https://openreview.net/,https://openreview.net/,System report,conference,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
